run_name,alpha,eligible,rows,threshold,accuracy,precision,recall,f1,mcc,auroc,auprc,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,alerts,alerts_per_10000_events,mode,labels_used,selected
alpha0.425,0.42500000000000004,True,9050126,9.376485604394297,0.9332788294881198,0.8215113009995199,0.9954468255047989,0.9001537292107162,0.8595873921344734,0.956871633699586,0.8348081658241475,0.09363624704509506,0.004553174495201063,2721906,5724385,591385,12450,3313291,3661.044056182201,retrospective_recall_floor,True,False
alpha0.450,0.45,True,9050126,9.297034258635598,0.9332640230644302,0.8214780778197787,0.9954468255047989,0.9001337846062879,0.8595598262785729,0.9568619868215922,0.8348012583032025,0.09365746377717998,0.004553174495201063,2721906,5724251,591519,12450,3313425,3661.1921204190967,retrospective_recall_floor,True,False
alpha0.475,0.47500000000000003,True,9050126,9.2175829128769,0.9332536364687077,0.8214547736107746,0.9954468255047989,0.9001197941425708,0.8595404898394227,0.9568561117330037,0.8347972085049616,0.09367234715640373,0.004553174495201063,2721906,5724157,591613,12450,3313519,3661.295986376322,retrospective_recall_floor,True,False
alpha0.500,0.5,True,9050126,9.1381315671182,0.9325945296231235,0.8199786472837345,0.9954468255047989,0.8992328835912412,0.8583148008215187,0.9568508330734127,0.8347935398337051,0.0946168084018259,0.004553174495201063,2721906,5718192,597578,12450,3319484,3667.8870548321647,retrospective_recall_floor,True,False
alpha0.525,0.525,True,9050126,9.058680221359502,0.9325746403972718,0.8199341861104016,0.9954468255047989,0.8992061473202929,0.8582778557079466,0.9568475253823301,0.8347913933389524,0.09464530848970118,0.004553174495201063,2721906,5718012,597758,12450,3319664,3668.085947090681,retrospective_recall_floor,True,False
alpha0.550,0.55,True,9050126,8.979228875600803,0.9324354158163102,0.8196230928500622,0.9954468255047989,0.8990190379305333,0.8580193075473491,0.9568440619731551,0.8347885216530352,0.09484480910482808,0.004553174495201063,2721906,5716752,599018,12450,3320924,3669.478192900298,retrospective_recall_floor,True,False
alpha0.575,0.5750000000000001,True,9050126,8.899777529842105,0.932229230841648,0.8191628119742747,0.9954468255047989,0.8987420808413732,0.8576366272842252,0.9568386417002867,0.8347824460841092,0.09514026001580171,0.004553174495201063,2721906,5714886,600884,12450,3322790,3671.54004264692,retrospective_recall_floor,True,False
alpha0.600,0.6000000000000001,True,9050126,8.820326184083408,0.9315213953927272,0.8175865884736134,0.9954468255047989,0.8977925809822361,0.8563248501398578,0.9568265367975853,0.8347740635456826,0.0961545464765183,0.004553174495201063,2721906,5708480,607290,12450,3329196,3678.618397136128,retrospective_recall_floor,True,False
alpha0.625,0.625,True,9050126,8.740874838324709,0.93149553939912,0.8175291266072571,0.9954468255047989,0.8977579353888807,0.8562769908081991,0.956821511520396,0.8347690200652184,0.09619159659075616,0.004553174495201063,2721906,5708246,607524,12450,3329430,3678.8769570721997,retrospective_recall_floor,True,False
alpha0.650,0.65,True,9050126,8.661423492566009,0.9314798490098369,0.8174942605235748,0.9954468255047989,0.8977369124435514,0.8562479499416713,0.9568177155064063,0.8347658867389852,0.09621407999341332,0.004553174495201063,2721906,5708104,607666,12450,3329572,3679.03386096503,retrospective_recall_floor,True,False
